Rewards_1,Rewards_2,Rewards_3,Rewards_4,Rewards_5,Rewards_6,Rewards_7,Rewards_8,Rewards_9,Rewards_10
-170.0,-225.0,-151.0,-169.0,-138.0,-159.0,-248.0,-106.0,-114.0,-179.0
-100.0,-386.0,-125.0,-174.0,-136.0,-149.0,-233.0,-172.0,-170.0,-298.0
-115.0,-212.0,-118.0,-162.0,-153.0,-189.0,-176.0,-137.0,-155.0,-187.0
-140.0,-360.0,-197.0,-129.0,-142.0,-154.0,-162.0,-149.0,-181.0,-320.0
-126.0,-212.0,-265.0,-177.0,-118.0,-234.0,-230.0,-149.0,-181.0,-277.0
-139.0,-393.0,-158.0,-301.0,-131.0,-212.0,-202.0,-135.0,-151.0,-235.0
-145.0,-207.0,-206.0,-156.0,-154.0,-159.0,-202.0,-111.0,-269.0,-184.0
-233.0,-232.0,-191.0,-192.0,-101.0,-257.0,-500.0,-122.0,-159.0,-158.0
-118.0,-160.0,-131.0,-237.0,-144.0,-306.0,-206.0,-254.0,-182.0,-169.0
-136.0,-206.0,-275.0,-123.0,-129.0,-92.0,-145.0,-91.0,-404.0,-160.0
-154.0,-216.0,-242.0,-235.0,-173.0,-201.0,-171.0,-500.0,-300.0,-176.0
-114.0,-199.0,-195.0,-451.0,-154.0,-184.0,-176.0,-236.0,-177.0,-205.0
-162.0,-119.0,-425.0,-136.0,-121.0,-218.0,-170.0,-122.0,-174.0,-158.0
-152.0,-389.0,-126.0,-166.0,-156.0,-239.0,-213.0,-102.0,-166.0,-196.0
-175.0,-271.0,-205.0,-162.0,-153.0,-166.0,-242.0,-118.0,-225.0,-343.0
-106.0,-181.0,-160.0,-400.0,-185.0,-192.0,-156.0,-108.0,-120.0,-166.0
-149.0,-206.0,-230.0,-184.0,-178.0,-122.0,-500.0,-121.0,-115.0,-296.0
-189.0,-189.0,-399.0,-180.0,-147.0,-163.0,-140.0,-208.0,-126.0,-134.0
-97.0,-135.0,-384.0,-141.0,-127.0,-118.0,-254.0,-169.0,-225.0,-134.0
-88.0,-233.0,-419.0,-388.0,-156.0,-188.0,-500.0,-143.0,-169.0,-127.0
-118.0,-181.0,-315.0,-202.0,-170.0,-128.0,-188.0,-123.0,-239.0,-154.0
-128.0,-201.0,-500.0,-257.0,-245.0,-342.0,-312.0,-146.0,-179.0,-454.0
-120.0,-166.0,-382.0,-164.0,-269.0,-138.0,-241.0,-111.0,-127.0,-182.0
-240.0,-207.0,-332.0,-221.0,-128.0,-127.0,-242.0,-163.0,-150.0,-210.0
-122.0,-168.0,-145.0,-160.0,-266.0,-172.0,-403.0,-88.0,-218.0,-139.0
-105.0,-394.0,-500.0,-148.0,-152.0,-138.0,-390.0,-153.0,-145.0,-230.0
-118.0,-426.0,-195.0,-224.0,-149.0,-330.0,-166.0,-161.0,-114.0,-175.0
-113.0,-273.0,-155.0,-226.0,-354.0,-181.0,-351.0,-115.0,-183.0,-133.0
-123.0,-405.0,-181.0,-148.0,-188.0,-146.0,-178.0,-163.0,-162.0,-160.0
-122.0,-133.0,-134.0,-165.0,-331.0,-209.0,-256.0,-324.0,-110.0,-394.0
-117.0,-500.0,-500.0,-157.0,-181.0,-120.0,-177.0,-140.0,-187.0,-238.0
-126.0,-195.0,-405.0,-193.0,-139.0,-149.0,-207.0,-146.0,-101.0,-132.0
-137.0,-230.0,-229.0,-126.0,-500.0,-131.0,-201.0,-115.0,-216.0,-133.0
-119.0,-359.0,-216.0,-231.0,-159.0,-117.0,-174.0,-115.0,-137.0,-87.0
-115.0,-153.0,-140.0,-123.0,-156.0,-108.0,-155.0,-128.0,-171.0,-136.0
-113.0,-166.0,-128.0,-148.0,-165.0,-142.0,-165.0,-120.0,-119.0,-133.0
-127.0,-181.0,-210.0,-167.0,-130.0,-237.0,-273.0,-153.0,-138.0,-90.0
-159.0,-271.0,-100.0,-185.0,-95.0,-123.0,-186.0,-139.0,-147.0,-130.0
-119.0,-246.0,-96.0,-232.0,-152.0,-211.0,-142.0,-126.0,-137.0,-109.0
-136.0,-143.0,-163.0,-260.0,-127.0,-190.0,-191.0,-122.0,-156.0,-117.0
-113.0,-106.0,-131.0,-209.0,-123.0,-160.0,-139.0,-136.0,-116.0,-218.0
-116.0,-149.0,-103.0,-98.0,-133.0,-247.0,-125.0,-155.0,-216.0,-149.0
-125.0,-260.0,-88.0,-150.0,-136.0,-141.0,-119.0,-147.0,-237.0,-244.0
-159.0,-129.0,-109.0,-119.0,-166.0,-113.0,-108.0,-236.0,-140.0,-128.0
-116.0,-144.0,-145.0,-150.0,-121.0,-117.0,-120.0,-224.0,-239.0,-120.0
-90.0,-252.0,-194.0,-190.0,-130.0,-135.0,-284.0,-159.0,-136.0,-149.0
-122.0,-153.0,-137.0,-162.0,-248.0,-104.0,-128.0,-108.0,-152.0,-97.0
-114.0,-165.0,-108.0,-153.0,-132.0,-119.0,-125.0,-153.0,-316.0,-118.0
-126.0,-124.0,-128.0,-116.0,-109.0,-109.0,-166.0,-176.0,-212.0,-104.0
-120.0,-108.0,-130.0,-163.0,-500.0,-164.0,-97.0,-156.0,-157.0,-250.0
-127.0,-83.0,-98.0,-102.0,-375.0,-111.0,-148.0,-151.0,-193.0,-113.0
-164.0,-182.0,-107.0,-129.0,-155.0,-103.0,-235.0,-138.0,-197.0,-111.0
-95.0,-102.0,-87.0,-92.0,-156.0,-192.0,-127.0,-148.0,-158.0,-127.0
-500.0,-111.0,-121.0,-191.0,-130.0,-85.0,-161.0,-97.0,-116.0,-138.0
-91.0,-206.0,-209.0,-88.0,-123.0,-154.0,-102.0,-142.0,-115.0,-113.0
-103.0,-118.0,-103.0,-155.0,-122.0,-140.0,-161.0,-179.0,-138.0,-197.0
-111.0,-142.0,-96.0,-185.0,-122.0,-153.0,-160.0,-120.0,-160.0,-141.0
-111.0,-164.0,-91.0,-138.0,-113.0,-100.0,-118.0,-345.0,-156.0,-141.0
-189.0,-127.0,-109.0,-122.0,-104.0,-171.0,-95.0,-150.0,-114.0,-129.0
-120.0,-168.0,-127.0,-108.0,-113.0,-124.0,-78.0,-500.0,-144.0,-91.0
-100.0,-166.0,-104.0,-126.0,-84.0,-128.0,-112.0,-87.0,-173.0,-101.0
-122.0,-248.0,-115.0,-159.0,-126.0,-107.0,-114.0,-110.0,-149.0,-105.0
-83.0,-318.0,-89.0,-162.0,-128.0,-122.0,-95.0,-126.0,-195.0,-126.0
-94.0,-151.0,-64.0,-132.0,-125.0,-127.0,-118.0,-148.0,-190.0,-121.0
-127.0,-134.0,-104.0,-106.0,-98.0,-89.0,-126.0,-139.0,-127.0,-117.0
-110.0,-128.0,-87.0,-114.0,-100.0,-97.0,-155.0,-147.0,-154.0,-82.0
-104.0,-91.0,-141.0,-177.0,-110.0,-95.0,-123.0,-87.0,-195.0,-129.0
-115.0,-114.0,-102.0,-139.0,-133.0,-171.0,-128.0,-96.0,-157.0,-96.0
-105.0,-82.0,-92.0,-120.0,-175.0,-96.0,-105.0,-211.0,-132.0,-117.0
-79.0,-91.0,-102.0,-94.0,-138.0,-142.0,-88.0,-79.0,-110.0,-68.0
-175.0,-94.0,-91.0,-111.0,-117.0,-104.0,-90.0,-93.0,-142.0,-229.0
-126.0,-180.0,-118.0,-135.0,-109.0,-172.0,-99.0,-119.0,-189.0,-72.0
-184.0,-152.0,-107.0,-133.0,-133.0,-118.0,-97.0,-146.0,-190.0,-119.0
-131.0,-82.0,-117.0,-89.0,-78.0,-144.0,-153.0,-75.0,-173.0,-86.0
-96.0,-105.0,-69.0,-109.0,-112.0,-104.0,-103.0,-124.0,-135.0,-108.0
-99.0,-151.0,-97.0,-136.0,-100.0,-88.0,-81.0,-129.0,-167.0,-142.0
-112.0,-74.0,-120.0,-500.0,-109.0,-121.0,-89.0,-106.0,-159.0,-95.0
-145.0,-89.0,-78.0,-135.0,-116.0,-96.0,-106.0,-276.0,-181.0,-88.0
-115.0,-99.0,-91.0,-103.0,-102.0,-114.0,-105.0,-76.0,-158.0,-92.0
-112.0,-97.0,-81.0,-171.0,-117.0,-189.0,-100.0,-84.0,-129.0,-89.0
-159.0,-103.0,-102.0,-125.0,-110.0,-121.0,-84.0,-500.0,-142.0,-104.0
-77.0,-115.0,-109.0,-90.0,-123.0,-130.0,-103.0,-101.0,-124.0,-78.0
-158.0,-118.0,-94.0,-107.0,-88.0,-84.0,-84.0,-112.0,-368.0,-88.0
-131.0,-99.0,-94.0,-112.0,-109.0,-124.0,-86.0,-106.0,-132.0,-76.0
-126.0,-71.0,-125.0,-108.0,-79.0,-109.0,-78.0,-91.0,-180.0,-108.0
-131.0,-82.0,-81.0,-98.0,-100.0,-107.0,-91.0,-120.0,-204.0,-121.0
-130.0,-82.0,-97.0,-227.0,-125.0,-98.0,-72.0,-113.0,-187.0,-114.0
-103.0,-83.0,-78.0,-140.0,-81.0,-94.0,-110.0,-167.0,-196.0,-104.0
-134.0,-80.0,-86.0,-156.0,-134.0,-74.0,-82.0,-109.0,-106.0,-105.0
-81.0,-96.0,-75.0,-118.0,-92.0,-97.0,-84.0,-78.0,-251.0,-123.0
-95.0,-83.0,-79.0,-126.0,-94.0,-93.0,-98.0,-129.0,-84.0,-73.0
-93.0,-159.0,-95.0,-90.0,-94.0,-107.0,-87.0,-115.0,-102.0,-82.0
-91.0,-87.0,-87.0,-94.0,-258.0,-118.0,-96.0,-85.0,-99.0,-97.0
-86.0,-85.0,-81.0,-106.0,-118.0,-96.0,-94.0,-95.0,-98.0,-222.0
-108.0,-66.0,-90.0,-111.0,-89.0,-103.0,-80.0,-104.0,-96.0,-83.0
-107.0,-93.0,-98.0,-126.0,-86.0,-118.0,-94.0,-77.0,-136.0,-100.0
