mean,upper,lower
-157.45,-128.2,-242.375
-159.0,-125.95,-244.375
-154.85,-122.3,-246.825
-151.15,-121.2,-263.275
-152.5,-121.35,-267.0
-156.15,-124.55,-273.35
-160.4,-127.15,-272.825
-167.45,-127.65,-283.525
-169.15,-128.0,-283.2
-173.3,-129.5,-281.75
-175.45,-130.45,-275.85
-175.05,-133.2,-261.6
-177.85,-134.75,-259.35
-200.15,-135.95,-255.425
-200.85,-136.5,-253.375
-198.45,-134.9,-254.675
-192.6,-130.55,-252.175
-184.9,-131.9,-235.05
-185.35,-133.2,-234.625
-181.35,-134.8,-230.2
-184.1,-135.2,-230.65
-191.05,-134.85,-241.0
-189.15,-133.25,-239.2
-185.9,-135.35,-249.65
-186.75,-132.95,-253.225
-186.95,-136.2,-244.95
-185.85,-136.7,-242.625
-195.85,-138.9,-249.3
-194.95,-139.45,-250.4
-217.45,-137.3,-281.35
-212.8,-133.75,-281.65
-220.75,-133.05,-294.4
-222.95,-134.4,-297.475
-201.5,-127.7,-266.15
-201.65,-130.9,-264.325
-200.0,-125.85,-266.95
-198.15,-123.9,-264.35
-190.7,-122.55,-258.875
-192.85,-122.65,-260.975
-169.0,-124.2,-231.875
-169.6,-127.7,-229.575
-163.6,-128.65,-219.875
-164.85,-126.9,-223.35
-167.45,-131.0,-226.65
-166.65,-128.2,-225.6
-165.15,-129.25,-226.225
-169.9,-132.2,-231.6
-191.3,-132.15,-255.45
-190.85,-131.05,-254.95
-188.6,-128.4,-260.05
-190.55,-130.05,-259.45
-182.0,-131.5,-259.325
-178.35,-132.5,-250.625
-181.1,-132.95,-268.6
-183.0,-134.65,-269.625
-182.8,-135.2,-286.925
-179.4,-132.25,-283.8
-161.45,-133.5,-260.225
-162.15,-133.55,-264.65
-170.95,-138.5,-278.1
-171.8,-137.8,-280.65
-169.95,-136.45,-262.15
-172.7,-137.25,-265.225
-178.75,-145.1,-251.75
-177.05,-145.35,-250.075
-180.9,-150.0,-257.775
-182.8,-150.45,-256.55
-182.75,-149.0,-250.675
-179.45,-148.2,-240.925
-170.45,-141.65,-221.175
-170.15,-142.55,-219.425
-165.9,-138.25,-213.675
-164.1,-138.15,-212.8
-154.75,-126.55,-216.25
-154.15,-126.5,-218.625
-149.8,-119.55,-187.625
-149.0,-120.65,-188.85
-143.45,-120.2,-183.85
-144.75,-121.55,-185.675
-144.25,-122.35,-183.3
-142.45,-120.7,-184.375
-144.0,-123.25,-193.625
-140.7,-122.15,-190.825
-137.75,-122.2,-178.8
-136.8,-120.15,-175.225
-134.0,-119.2,-171.425
-131.05,-117.9,-167.05
-134.9,-119.4,-171.425
-133.1,-115.25,-170.2
-133.95,-115.05,-168.7
-133.15,-113.8,-164.75
-137.9,-113.35,-165.325
-140.1,-114.05,-165.6
-141.75,-116.55,-169.55
-141.95,-117.95,-168.425
-142.65,-118.2,-168.15
-143.75,-118.7,-170.325
-140.15,-114.55,-183.3
-141.35,-116.8,-185.275
-148.3,-117.45,-190.7
-149.85,-119.8,-191.85
-144.85,-119.2,-183.775
-145.45,-119.9,-184.375
-150.75,-119.05,-188.3
-149.65,-117.45,-187.975
-150.25,-119.2,-190.95
-151.5,-118.55,-191.875
-152.85,-121.0,-182.775
-150.15,-120.2,-180.725
-144.55,-120.95,-185.825
-142.6,-117.4,-186.85
-146.5,-119.8,-190.5
-144.3,-118.1,-192.8
-143.95,-121.1,-191.025
-146.1,-121.5,-192.35
-148.95,-123.25,-199.25
-148.0,-123.5,-198.725
-152.55,-128.5,-205.3
-155.1,-129.5,-206.525
-153.55,-128.7,-202.6
-155.2,-131.85,-202.8
-156.95,-131.25,-208.325
-160.0,-134.5,-207.025
-159.7,-131.4,-210.825
-158.2,-131.65,-210.7
-156.1,-130.35,-202.625
-160.1,-133.35,-205.725
-153.3,-127.0,-194.25
-154.15,-127.3,-195.25
-158.9,-128.4,-196.25
-159.55,-128.35,-195.7
-156.1,-125.25,-189.825
-155.1,-123.15,-191.85
-149.45,-122.45,-178.7
-148.15,-120.95,-176.425
-146.0,-119.35,-173.7
-142.2,-117.4,-170.025
-146.8,-118.25,-171.525
-143.85,-115.65,-169.175
-143.65,-117.85,-174.375
-143.2,-117.3,-175.2
-142.5,-119.35,-173.075
-143.25,-119.4,-175.0
-143.7,-118.8,-180.4
-145.2,-120.55,-182.225
-145.8,-120.85,-183.3
-151.2,-124.25,-189.75
-150.95,-127.1,-188.85
-152.25,-129.0,-191.775
-150.75,-128.05,-181.425
-150.05,-126.75,-180.575
-148.5,-126.75,-181.9
-144.7,-125.65,-173.6
-145.65,-126.2,-173.825
-143.9,-124.4,-173.2
-142.7,-123.35,-173.275
-136.4,-118.85,-165.675
-131.1,-114.55,-159.875
-133.2,-116.05,-160.4
-131.25,-114.95,-159.45
-132.35,-114.75,-161.75
-134.65,-116.8,-162.85
-136.7,-116.0,-166.6
-141.1,-118.0,-173.5
-143.4,-120.05,-178.325
-146.1,-120.5,-180.325
-148.25,-122.0,-183.625
-153.2,-124.2,-199.375
-151.65,-123.15,-197.325
-150.95,-122.6,-198.25
-149.8,-123.8,-195.1
-150.65,-121.55,-200.6
-151.4,-123.75,-199.6
-147.45,-123.55,-190.05
-147.3,-124.1,-188.925
-146.55,-124.3,-186.2
-145.1,-122.9,-184.275
-147.3,-123.35,-176.5
-149.95,-123.3,-180.325
-148.95,-121.6,-181.6
-148.75,-121.4,-181.75
-143.9,-120.35,-169.925
-141.6,-119.3,-169.375
-137.9,-116.65,-165.3
-136.35,-115.95,-161.025
-136.9,-118.15,-163.5
-138.0,-118.9,-163.8
-134.85,-116.35,-163.225
-132.2,-116.1,-157.825
-135.35,-119.25,-157.2
-136.15,-116.95,-158.375
-140.75,-116.05,-165.825
-142.25,-115.75,-165.975
-144.0,-117.55,-166.0
-143.0,-116.25,-164.05
-140.95,-112.05,-169.075
-140.35,-111.4,-167.85
-137.65,-112.65,-163.55
-135.35,-111.7,-163.225
-132.15,-109.1,-158.4
-133.8,-112.3,-159.05
-131.6,-112.45,-154.1
-128.05,-110.95,-153.275
-127.75,-109.65,-157.45
-130.0,-109.45,-161.1
-129.9,-110.85,-158.3
-128.4,-110.75,-156.925
-129.35,-111.95,-157.35
-130.65,-112.2,-158.075
-131.65,-112.85,-159.475
-129.0,-111.15,-158.75
-127.3,-112.75,-156.45
-131.5,-116.3,-157.45
-131.0,-117.2,-154.525
-130.0,-116.95,-155.125
-131.4,-117.8,-153.75
-132.9,-117.1,-156.775
-133.0,-116.15,-157.95
-130.25,-113.95,-154.275
-130.35,-114.15,-154.95
-130.0,-114.75,-152.95
-129.55,-113.15,-153.75
-127.0,-110.9,-151.775
-127.5,-110.15,-153.7
-128.75,-112.2,-152.9
-127.8,-111.05,-150.425
-126.45,-111.05,-148.45
-125.9,-110.45,-155.175
-128.7,-113.45,-157.9
-127.15,-111.45,-155.15
-127.3,-110.95,-155.55
-126.25,-111.25,-153.0
-125.25,-110.25,-151.825
-124.55,-109.75,-149.425
-122.4,-108.5,-146.8
-121.75,-108.55,-146.15
-121.75,-109.45,-148.825
-120.05,-108.6,-140.15
-119.35,-106.6,-139.125
-119.4,-106.85,-140.8
-119.0,-105.7,-140.575
-120.3,-105.9,-141.7
-121.1,-106.8,-141.4
-121.9,-106.25,-149.65
-123.45,-108.05,-151.55
-123.2,-108.05,-154.25
-122.5,-106.4,-153.0
-123.4,-105.1,-151.5
-121.4,-104.8,-150.075
-120.4,-104.2,-149.9
-122.35,-104.3,-154.725
-123.45,-105.15,-159.0
-123.15,-104.75,-159.8
-124.3,-105.25,-158.175
-122.95,-103.1,-158.025
-121.55,-101.6,-151.85
-121.95,-102.2,-149.325
-121.35,-103.85,-150.6
-122.75,-104.15,-151.3
-126.3,-106.45,-152.25
-123.25,-106.95,-146.4
-123.25,-105.8,-145.5
-122.3,-105.35,-143.425
-120.45,-105.2,-138.825
-119.2,-104.1,-136.175
-120.05,-104.8,-138.375
-120.0,-105.75,-138.05
-120.65,-105.45,-136.5
-121.8,-106.2,-137.65
-118.35,-104.25,-133.6
-118.6,-103.7,-132.975
-119.0,-102.95,-132.925
-122.65,-104.15,-137.9
-121.9,-104.8,-134.7
-122.65,-105.1,-135.2
-128.4,-107.8,-143.0
-126.85,-105.6,-143.0
-124.0,-104.45,-139.5
